795384	W	W
e2bdb1	C
4af195	C
2eea6e	C
659674	W	S
6f1381	C
d4f33a	W	W
7f2b23	W	W
8a23ca	W	S
595de3	W	T
55ec9f	W	T
3f3a21	W	S
c38a76	W	W
acfa31	W	M
8bdfd4	W	T
0de6ce	W	S
806257	W	M
bb978d	W	V
60ebbc	W	T
7c4206	C
fc4f29	W	W
77f1ca	W	W
72e6de	W	E
0b2245	C
eaf91e	W	S
794a68	C
5f5e67	W	M
2dd03f	W	T
faf067	C
c256a0	W	T
1a6c7a	C
e91cdf	W	S
9ea1d7	C
2786a6	C
654995	W	W
e075a6	W	M
2a906c	W	M
125929	C
2c68c3	W	W
4eba3b	W	S
05dad4	C
9d29df	C
af30a4	W	S
8efa55	W	T
f99045	W	W
b33ee8	W	W
d8acd4	C
96eb18	W	W
8ea964	W	W
852ba1	W	T
bfc222	W	M
bbef74	W	S
abe13e	W	T
7506b0	W	T
2d3b60	C
de6457	W	W
e4ae82	W	T
c08d0b	W	T
f8b212	W	T
6f6019	C
44eec3	W	W
5cd361	W	S
75d187	W	T
6245f5	W	W
c7e2bd	C
20b2b6	W	T
c4a996	W	T
592c1d	C
69f741	W	S
c60b4d	W	M
4cab89	C
933708	C
74a205	W	S
08fad5	W	S
b53acc	C
2dce8d	W	M
1b22fd	C
125d18	C
702d6b	C
6016d5	W	M
2884b9	W	S
efd6ad	W	W
c55381	C
6c3918	C
3db111	W	T
af95f9	C
f652cc	W	V
aaae8f	C
5d4d15	C
699b49	W	S
92cc00	W	T
4a55c8	C
81fe6b	W	T
72c44d	C
8f0f85	W	W
f7fd99	W	T
cc5c4d	C
98038e	W	M
e721e5	W	V
be56f2	W	T
89009e	C
cf4616	W	T
b1df6f	W	S
57f282	W	W
78bd04	C
35069d	W	M
b5b26e	W	T
d012b8	W	V
dc782b	C
bd055c	W	T
451ba9	C
62c878	W	M
db23c2	C
bb7fc8	W	T
599a5e	W	S
8effe2	C
541533	W	T
9f2fbf	W	T
03341b	C
6317a3	C
4f8843	C
9bc40c	W	M
52e2e7	W	T
ffc8b3	C
9291f0	W	T
9b127b	C
b2526b	C
73c515	W	T
5aef3c	W	M
9abe06	W	W
c03b89	W	S
c32856	C
8cfe26	W	S
88b21c	C
b34dc5	W	M
c8055d	C
298751	W	T
cf90e5	C
e56b2d	W	W
8cb366	W	T
5594b2	W	M
d0b25a	W	M
8b91ba	C
987506	C
b3c72d	W	S
db35bf	C
e81a29	W	S
2581a1	W	T
6083b4	C
5a505a	C
f7af16	W	W
27539f	C
440b96	C
e4ed2e	C
ba147c	C
308066	C
5c15f8	W	T
aef585	W	W
78c448	W	W
73d2e2	C
4d7391	C
b80188	W	T
47489c	W	M
9d5617	W	S
10dde8	W	W
c6861f	W	W
ab6d09	W	W
0ce775	C
0ec6be	W	T
ee6680	W	S
26f6b5	W	S
69dd3d	C
421512	C
adb42d	C
02b523	C
e82117	C
1ed726	W	T
9be0b6	C
b85ff1	C
72aa2a	C
7c69bb	W	V
9164b9	C
156c42	W	M
f2e338	W	S
81b49a	W	W
4faaca	W	M
27252c	C
c43a8c	W	V
17cff7	W	M
4be151	C
2a0d25	W	M
7e63e9	C
3b4b52	C
85a11e	W	V
9603be	C
8cb2ea	W	S
4beb93	W	T
3da7e6	W	M
05fb54	W	S
c1e82f	W	V
74668e	W	S
c35b6d	W	W
a0f32b	C
02ff0a	C
7fd614	W	T
897eaf	C
750532	C
da42e5	W	M
fb5954	W	T
877fc1	W	W
e51dac	W	V
0c5220	W	M
a20b25	W	T
3a8856	C
0f6863	C
9824aa	W	S
f23eb0	W	V
e8c1db	W	T
c3b994	W	T
df7b0d	W	T
03f3c7	W	T
904c28	W	S
daef5d	W	M
f74891	W	M
a96fd1	C
689fd8	W	T
3a367b	W	T
df24a7	C
996210	W	S
abf66c	C
2bacf0	W	W
50c127	W	W
b7f7ba	C
0575a6	W	S
aded41	W	T
6fbee3	W	W
42e527	W	W
6abb58	W	M
d46c30	W	M
447d56	W	W
dab0b5	C
d5fdcf	C
e20c4d	C
0c24ee	C
dffed6	C
59ca32	W	W
557ef9	C
5790e5	C
b1012b	C
c673ca	W	M
400b7a	W	W
938490	C
63c132	W	M
915fb7	C
144fbc	W	T
e935fb	W	V
171f77	W	S
e4bb99	W	S
55ba7b	C
da503c	C
d91267	W	M
e74838	W	M
e75f1b	W	T
1ea57c	W	W
170752	W	S
8347f9	C
a2bec6	C
4b3d24	W	W
18cc95	C
5c4c6c	C
f81fcd	C
bfa2ab	W	W
955169	C
8aaa9a	W	W
12accc	W	T
60d813	C
2a9bb8	W	T
5b1bd1	W	W
6606c5	W	S
7c5382	W	S
3c277e	W	S
81254c	W	T
4e0a56	C
2985f3	W	W
4d92d6	W	S
97f58c	W	W
01a22f	C
