exercise_id	lang	category	what_differs	proposed_fix
35085	ua	gap	en gap "an" (article) vs ua empty gap (no article in ua)	change ua: exclude ua from this gap item or regap (e.g. «зручна»)
35085	sk	gap	en gap "an" (article) vs sk empty gap (no article in sk)	change sk: exclude sk from this gap item or regap (e.g. ľahká)
35085	cz	gap	en gap "an" (article) vs cz empty gap (no article in cz)	change cz: exclude cz from this gap item or regap (e.g. lehká)
35186	tr	gap	en gap "are" vs tr empty gap (zero copula)	change tr: exclude tr from this gap item or regap (e.g. saçma)
35186	hu	gap	en gap "are" vs hu empty gap (zero copula)	change hu: exclude hu from this gap item or regap (e.g. bolondos)
35191	es	gap	en gap "will" vs es empty gap, intro «¡Yo ... las compraré!»	change es: gap = compraré
35191	fr	gap	en gap "will" vs fr empty gap, intro « Je ... les achèterai ! »	change fr: gap = achèterai
35333	ua	gap	en gap "an" (article) vs ua empty gap	change ua: exclude ua from this gap item or regap (e.g. «старий»)
35333	sk	gap	en gap "an" (article) vs sk empty gap	change sk: exclude sk from this gap item or regap (e.g. stará)
35333	cz	gap	en gap "an" (article) vs cz empty gap	change cz: exclude cz from this gap item or regap (e.g. stará)
35427	tr	gap	en gap "at" vs tr empty gap (gece yarısı takes no postposition)	change tr: exclude tr from this gap item or regap (e.g. gece yarısı)
35476	ua	gap	en gap "a" (article) vs ua empty gap	change ua: exclude ua from this gap item or regap (e.g. «величезна»)
35476	sk	gap	en gap "a" (article) vs sk empty gap	change sk: exclude sk from this gap item or regap (e.g. obrovská)
35476	cz	gap	en gap "a" (article) vs cz empty gap	change cz: exclude cz from this gap item or regap (e.g. obří)
35548	es	gap	en gap "will" vs es empty gap, intro «los coches ... se pararán»	change es: gap = pararán
35548	fr	gap	en gap "will" vs fr empty gap, intro « les voitures ... s'arrêteront »	change fr: gap = arrêteront
35564	tr	gap	en gap "are" vs tr empty gap (zero copula)	change tr: exclude tr from this gap item or regap (e.g. sırada)
35589	es	gap	en gap "will" (future) vs es empty gap and broken sentence «ella llegar» (infinitive, no future)	change es: ella llegará pronto a la cima, gap = llegará
35589	fr	gap	en gap "will" (future) vs fr empty gap and broken sentence « elle atteindre » (infinitive, no future)	change fr: elle atteindra bientôt le sommet, gap = atteindra
35629	ua	gap	en gap "the" (article) vs ua empty gap	change ua: exclude ua from this gap item or regap
35629	tr	gap	en gap "the" (article) vs tr empty gap	change tr: exclude tr from this gap item or regap
35629	sk	gap	en gap "the" (article) vs sk empty gap	change sk: exclude sk from this gap item or regap
35629	cz	gap	en gap "the" (article) vs cz empty gap	change cz: exclude cz from this gap item or regap
35681	tr	gap	en gap "is" vs tr empty gap (zero copula)	change tr: exclude tr from this gap item or regap (e.g. güneşli)
35681	hu	gap	en gap "is" vs hu empty gap (zero copula)	change hu: exclude hu from this gap item or regap (e.g. napos)
35719	tr	gap	en gap "are" vs tr empty gap (zero copula)	change tr: exclude tr from this gap item or regap (e.g. tatlı)
35719	hu	gap	en gap "are" vs hu empty gap (zero copula)	change hu: exclude hu from this gap item or regap (e.g. édesek)
35738	ua	gap	en gap "an" (article) vs ua empty gap	change ua: exclude ua from this gap item or regap (e.g. «старий»)
35738	sk	gap	en gap "an" (article) vs sk empty gap	change sk: exclude sk from this gap item or regap (e.g. starý)
35738	cz	gap	en gap "an" (article) vs cz empty gap	change cz: exclude cz from this gap item or regap (e.g. starý)
35746	sk	number_person_gender	en "they're gonna juggle" vs sk "bude žonglovať" (he/she will, singular)	change sk: bude žonglovať → budú žonglovať
35746	cz	number_person_gender	en "they're gonna juggle" vs cz "bude žonglovat" (he/she will, singular)	change cz: bude žonglovat → budou žonglovat
35764	tr	gap	en gap "is" vs tr empty gap (zero copula)	change tr: exclude tr from this gap item or regap (e.g. uzun)
35764	hu	gap	en gap "is" vs hu empty gap (zero copula)	change hu: exclude hu from this gap item or regap (e.g. magas)
