exercise_id	lang	category	what_differs	proposed_fix
30017	tr	gap	en gap "on" (on the first try) vs tr empty gap; "ilk deneme vurdun" lacks the locative	change tr: ilk deneme → ilk denemede, gap -de/denemede
30029	es	number_person_gender	en "he said" vs es «ella ha dicho» (she)	change es: ella ha dicho → él ha dicho
30395	es	number_person_gender	en "She never wants" vs es «Él no quiere» (he)	change es: Él → Ella
30557	fr	noun_verb_place	en "silver car" vs fr «voiture grise» (grey car)	change fr: grise → argentée
30835	es	number_person_gender	en "she cuts" vs es «él corta» (he)	change es: él corta → ella corta
30941	tr	gap	en gap "at" (at sunset) vs tr empty gap; «gün batımı başlıyor» lacks the locative	change tr: gün batımı → gün batımında, gap gün batımında
30946	es	number_person_gender	en "she said" vs es «él ha dicho» (he)	change es: él ha dicho → ella ha dicho
31104	tr	gap	en gap "in" (in the kitchen) vs tr empty gap; «Kız mutfak kek yapıyor» lacks the locative	change tr: mutfak → mutfakta, gap mutfakta
31135	es	number_person_gender	en "she told me" vs es «él me dijo» (he)	change es: él me dijo → ella me dijo
31156	es	number_person_gender	en "she gotta sign her" vs es «él tiene que firmar» (he)	change es: él → ella
31267	tr	gap	en gap "at" (at sunset) vs tr empty gap; «Gün batımı çölde ilerliyor» lacks the locative	change tr: Gün batımı → Gün batımında, gap Gün batımında
31267	es	gap	es «al la puesta de sol» ungrammatical, gap «al» should be «a la»	change es: al la puesta → a la puesta, gap a la
31432	es	number_person_gender	en "She usually wears" vs es «él viste» (he)	change es: él viste → ella viste
31457	es	noun_verb_place	en "bench" vs es «estrado» (platform/dais)	change es: estrado → banco
31537	es	gap	en gap "on" (on Monday) vs es empty gap; «lunes por la mañana» lacks «el»	change es: sucio lunes → sucio el lunes, gap el
31552	es	number_person_gender	en "He cleans" vs es «Ella limpia» (she)	change es: Ella limpia → Él limpia
