exercise_id	lang	category	what_differs	proposed_fix
28304	es	number_person_gender	en "she" vs es "él"	change es: él → ella
28446	es	number_person_gender	en "she usually swims" vs es "él nada"	change es: él nada → ella nada
28545	es	number_person_gender	en "He leans" vs es "Ella se inclina"	change es: Ella → Él
28571	es	number_person_gender	en "She counts" vs es "Él cuenta"	change es: Él → Ella
28854	es	number_person_gender	en "He told me" vs es "Ella me dijo"	change es: Ella → Él
28874	tr	gap	en gap "to" vs tr empty gap, sentence lacks dative ("makine")	change tr: makine → makineye, gap: makineye
29171	es	number_person_gender	en "does she not answer" vs es "no contesta él"	change es: él → ella
29315	es	number_person_gender	en "she usually hides it" vs es "él lo esconde"	change es: él → ella
29421	fr	gap	en gap "at" (night) vs fr gap «sans préposition» (placeholder text left in sentence)	change fr: a lieu sans préposition nuit → a lieu la nuit, gap: la
29540	fr	gap	en gap "many" vs fr gap «de» (only part of «tellement de»)	change fr gap: de → tellement de
29556	es	number_person_gender	en "does she check" vs es "comprueba él"	change es: él → ella
29566	es	number_person_gender	en "She did not need" vs es "Él no necesitó"	change es: Él → Ella
