exercise_id	lang	category	what_differs	proposed_fix
10358	fr	clause	en "was far too hot to hold" vs fr «qu'il a sorti du micro-ondes était brûlant» (adds from the microwave, drops too hot to hold)	change fr: Le bol qu'il a sorti était bien trop chaud pour être tenu.
10671	sk	noun_verb_place	en "checked" vs sk «obehne» (will run around)	change sk: obehne → skontroluje
10671	cz	noun_verb_place	en "checked" vs cz «oběhne» (will run around)	change cz: oběhne → zkontroluje
10861	es	number_person_gender	en "She said" vs es «Él dijo»	change es: Él dijo → Ella dijo
10965	es	number_person_gender	en "She wishes she had bought" vs es «Ojalá yo hubiera comprado» (I)	change es: Ojalá yo hubiera comprado → Ojalá ella hubiera comprado
10965	de	clause	en "— the sheets keep tearing" missing in de; "before starting" reduced to «vorher»	change de: add — die Blätter reißen ständig.
10965	fr	clause	en "— the sheets keep tearing" missing in fr	change fr: add — les feuilles n'arrêtent pas de se déchirer.
10965	tr	clause	en "— the sheets keep tearing" missing in tr	change tr: add — kâğıtlar sürekli yırtılıyor.
11305	es	number_person_gender	en "He arrived" vs es «Ella llegó»	change es: Ella llegó → Él llegó
11313	es	number_person_gender	en "He shows" vs es «Ella le enseña»	change es: Ella → Él
11322	ua	noun_verb_place	en "crayons" vs ua «крейдою» (chalk)	change ua: крейдою → воськовими олівцями
11401	de	number_person_gender	en "he likes" vs de «den es mag» (it)	change de: es → er
11535	es	number_person_gender	en "she can shape it" vs es «él puede»	change es: él → ella
11681	es	number_person_gender	en "She puts" vs es «Él pone»	change es: Él → Ella
11810	es	number_person_gender	en "She turns" vs es «él gira»	change es: él → ella
11853	es	noun_verb_place	en "beer garden" vs es «el jardín» (garden)	change es: el jardín → la terraza de la cervecería / el biergarten
11853	fr	noun_verb_place	en "beer garden" vs fr «le jardin» (garden)	change fr: le jardin → le biergarten
12051	tr	clause	en "Nobody can wait" vs tr «Kimse ... bekleyebilir» (positive verb, meaning lost)	change tr: bekleyebilir → bekleyemez (gap too)
12077	hu	clause	en "is sandy and bright" vs hu «a tiszta víz alatt van» (is under the clear water)	change hu: A tenger feneke homokos és világos.
12131	hu	clause	en "is almost full" vs hu «az üres lakásban van» (is in the empty flat)	change hu: A nagy kartondoboz majdnem tele van.
12144	es	number_person_gender	en "she is closing" vs es «él está cerrando»	change es: él → ella
12193	sk	time_frame	en present "clenches ... walks on" vs sk past «zaťalo ... išlo»	change sk: zaťalo → zatne, išlo → ide
12510	es	number_person_gender	en "She spreads" vs es «Él unta»	change es: Él → Ella
12572	fr	noun_verb_place	en "a big slice of cake" vs fr «une grosse part» (cake dropped)	change fr: une grosse part → une grosse part de gâteau
12789	es	number_person_gender	en "he is looking" vs es «ella está mirando»	change es: ella → él
