exercise_id	lang	category	what_differs	proposed_fix
43079	tr	gap	en gap "whose" vs tr gap empty (Turkish genitive relative has no separate word; "trençkotun ... tepesi" intro is garbled)	rebuild tr gap: use a word present in the sentence (e.g. "tepesi") or drop tr for this gap item
43151	tr	gap	en gap "that" vs tr gap empty (participle "çıkan" carries the relative; intro gap is at sentence start)	rebuild tr gap: use "çıkan" as the gap or drop tr for this gap item
43175	tr	gap	en gap "whose" vs tr gap empty (no relative word in "çamaşırları deniz kokan kadın")	rebuild tr gap: use "kokan" as the gap or drop tr for this gap item
43306	tr	gap	en gap "which" vs tr gap empty (participle "istediği" carries the relative; intro gap at sentence start)	rebuild tr gap: use "istediği" as the gap or drop tr for this gap item
43465	tr	gap	en gap "whose" vs tr gap empty (participle "düşen" carries the relative)	rebuild tr gap: use "düşen" as the gap or drop tr for this gap item
43505	tr	gap	en gap "who" vs tr gap empty (participle "çıkaran" carries the relative)	rebuild tr gap: use "çıkaran" as the gap or drop tr for this gap item
43512	ua	gap	en gap "is" vs ua gap empty (zero copula in «відео таке божевільне»)	rebuild ua gap on another word (e.g. «таке») or drop ua for this gap item
43512	hu	gap	en gap "is" vs hu gap empty (zero copula in "ha egy videó ennyire őrült")	rebuild hu gap on another word (e.g. "ennyire") or drop hu for this gap item
43700	tr	gap	en gap "which" vs tr gap empty (participle "yaptığın" carries the relative)	rebuild tr gap: use "yaptığın" as the gap or drop tr for this gap item
43769	ua	gap	en gap "is" vs ua gap empty (zero copula in «сонце таке пекуче»)	rebuild ua gap on another word (e.g. «таке») or drop ua for this gap item
43769	hu	gap	en gap "is" vs hu gap empty (zero copula in "a nap ilyen forró")	rebuild hu gap on another word (e.g. "ilyen") or drop hu for this gap item
