exercise_id	lang	category	what_differs	proposed_fix
25705	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él pasa → Ella pasa
25782	es	number_person_gender	en "he" vs es «ella» (she)	change es: ¿Qué saca ella → ¿Qué saca él
25954	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él espera → Ella espera
26090	hu	gap	en gap "on" vs hu gap «macskaköveken» (the noun cobblestones+on)	change hu: rephrase so the gap is a postposition, e.g. a nedves macskakövek tetején hever, gap tetején
26115	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él echa → Ella echa
26207	es	number_person_gender	en "she" vs es «él» (he)	change es: él necesita → ella necesita
26223	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él desliza → Ella desliza
26277	es	number_person_gender	en "He" vs es «Ella» (she)	change es: Ella echa → Él echa
26337	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él levanta → Ella levanta
26389	es	noun_verb_place	en "wheelchairs" vs es «sillas» (chairs)	change es: sillas rápidas → sillas de ruedas rápidas, gap sillas de ruedas
26389	fr	noun_verb_place	en "wheelchairs" vs fr «fauteuils» (armchairs)	change fr: fauteuils rapides → fauteuils roulants rapides, gap fauteuils roulants
26389	tr	noun_verb_place	en "wheelchairs" vs tr «sandalye» (chair)	change tr: hızlı sandalye → hızlı tekerlekli sandalye, gap tekerlekli sandalye.
26450	hu	gap	en gap "on" vs hu gap «konyhaasztalon» (the noun kitchen table+on)	change hu: rephrase with a postposition, e.g. a konyhaasztal tetején áll, gap tetején
26493	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él se apoya → Ella se apoya
26943	tr	gap	en gap "is" vs tr gap empty (no copula; intro puts ... after the sentence)	change tr: pick a real gap, e.g. gap mahvolmuş, or drop tr from this gap exercise
26943	hu	gap	en gap "is" vs hu gap empty (no copula; intro puts ... after the sentence)	change hu: pick a real gap, e.g. gap tönkrement, or drop hu from this gap exercise
26971	ua	gap	en "have got" vs ua gap «мати» (infinitive; sentence Вони мати is ungrammatical)	change ua: Вони мати → Вони мають, gap мають
27060	tr	gap	en gap "at" vs tr gap empty; tr «gün batımı bitiyor» lacks the locative	change tr: Macera gün batımında bitiyor, gap gün batımında
27060	hu	gap	en gap "at" vs hu gap «naplementekor» (the noun sunset+at)	change hu: gap naplementekor is a whole noun; accept or rephrase (e.g. a naplemente idején ér véget, gap idején)
27078	tr	gap	en gap "is" vs tr gap empty (no copula)	change tr: pick a real gap (e.g. büyük) or drop tr from this gap exercise
27078	hu	gap	en gap "is" vs hu gap empty (no copula)	change hu: pick a real gap (e.g. nagy) or drop hu from this gap exercise
27119	es	number_person_gender	en "she" vs es «él» (he)	change es: él da consejos → ella da consejos
27195	tr	gap	en gap "at" vs tr gap empty; tr «derenin duruyor» lacks the postposition	change tr: derenin yanında duruyor, gap yanında
27195	hu	gap	en gap "at" vs hu gap «pataknál» (the noun stream+at)	change hu: rephrase with a postposition, e.g. a patak mellett áll meg, gap mellett
27224	es	number_person_gender	en "he said" vs es «ella dijo» (she)	change es: ella dijo → él dijo
27245	ua	gap	en gap "an" vs ua gap empty (no article; intro inserts ... into the sentence)	change ua: drop ua from this gap exercise or pick another gap
27245	sk	gap	en gap "an" vs sk gap empty (no article)	change sk: drop sk from this gap exercise or pick another gap
27245	cz	gap	en gap "an" vs cz gap empty (no article)	change cz: drop cz from this gap exercise or pick another gap
27303	tr	gap	en gap "at" vs tr gap empty; tr «saat sekiz» lacks the locative	change tr: saat sekizde tek başına yiyor, gap sekizde
27303	hu	gap	en gap "at" vs hu gap «nyolc órakor» (includes the time itself)	change hu: rephrase or accept; gap is not the preposition
27345	es	number_person_gender	en "she" vs es «él» (he)	change es: él cepilló → ella cepilló
27348	tr	gap	en gap "is" vs tr gap empty (no copula)	change tr: pick a real gap or drop tr from this gap exercise
27348	hu	gap	en gap "is" vs hu gap empty (no copula; intro inserts ... into the sentence)	change hu: pick a real gap or drop hu from this gap exercise
27382	hu	gap	en gap "your" vs hu gap «a kalapácsodat» (the noun hammer+your)	change hu: use a saját kalapácsodat, gap a saját
27490	hu	gap	en gap "her" vs hu gap «kezét» (the noun hand+her)	change hu: a saját kezét, gap a saját
27519	tr	gap	en gap "in" vs tr gap empty; tr «O yuva uyuyor» lacks the locative	change tr: O yuvada uyuyor, gap yuvada
27519	hu	gap	en gap "in" vs hu gap «fészekben» (the noun nest+in)	change hu: rephrase or accept; gap is not the preposition
27564	tr	gap	en gap "is" vs tr gap empty (no copula)	change tr: pick a real gap or drop tr from this gap exercise
27564	hu	gap	en gap "is" vs hu gap empty (no copula; intro inserts ... into the sentence)	change hu: pick a real gap or drop hu from this gap exercise
27596	ua	gap	en gap "an" vs ua gap empty (no article)	change ua: drop ua from this gap exercise or pick another gap
27596	sk	gap	en gap "an" vs sk gap empty (no article)	change sk: drop sk from this gap exercise or pick another gap
27596	cz	gap	en gap "an" vs cz gap empty (no article)	change cz: drop cz from this gap exercise or pick another gap
