exercise_id	lang	category	what_differs	proposed_fix
114	es	number_person_gender	en "he" vs es "ella"	change es: ella → él
208	en	clause	en "She has not looked down at her notes once, so she must have been practising this presentation for weeks" vs all natives "her hands shake on the remote, she can't be as calm as she sounds"; gap "must have been practising" vs natives "can't be"	change en: Her hands are shaking on the remote, so she can't be as calm as she sounds. [gap: can't be]
331	en	clause	en lacks "that's the worst" present in de/ua/es/fr/tr/hu (sk/cz also lack it)	change en: His tooth hurts, and so does his ear, and that's the worst. (then add the clause to sk and cz)
354	en	clause	en lacks "and she laughed" present in de/ua/tr/hu/sk/cz (es/fr also lack it)	change en: ... when it suddenly purred very loudly and she laughed. (then add the clause to es and fr)
466	es	number_person_gender	en "she" vs es "él"	change es: él → ella
541	es	number_person_gender	en "She" vs es "Él sabía"	change es: Él → Ella
656	es	number_person_gender	en "She" vs es "Él"	change es: Él → Ella
672	es	number_person_gender	en "she" vs es "él bajará"	change es: él → ella
687	es	number_person_gender	en "she" vs es "él ahora estaría"	change es: él → ella
984	es	number_person_gender	en "she will see" vs es "él verá"	change es: él verá → ella verá
1030	es	number_person_gender	en "he" vs es "ella necesitaba"	change es: ella → él
1041	es	number_person_gender	en "he should have pressed" vs es "ella debería"	change es: ella → él
1067	ua	noun_verb_place	en "milkshakes" vs ua «коктейлі» (cocktails)	change ua: коктейлі → молочні коктейлі
1079	ua	noun_verb_place	en "milkshake" vs ua «коктейлю» (cocktail)	change ua: коктейлю → молочного коктейлю
1137	es	number_person_gender	en "she" vs es "él estará"	change es: él → ella
1154	es	number_person_gender	en "she would never have got past" vs es "él nunca habría"	change es: él → ella
1207	es	number_person_gender	en "she" vs es "él habrá pasado"	change es: él → ella
1207	de	clause	de adds "Ich bin sicher, dass" (I am sure that) not in en	change de: Bis zum Ende der Woche wird sie jeden einzelnen Nachmittag in dieser Hängematte verbracht haben.
1421	es	number_person_gender	en "She" vs es "Él no paraba"	change es: Él → Ella
1426	es	number_person_gender	en "she" vs es "él habrá estado"	change es: él → ella
1551	hu	gap	en "had cancelled" vs hu «mondta volna» (had said); gap «mondta»	change hu: mondta volna → lemondta volna, gap → lemondta volna
1622	es	number_person_gender	en "he" vs es "ella no hubiera escrito"	change es: ella → él
1744	es	number_person_gender	en "she" vs es "Él nunca había visto"	change es: Él → Ella
1798	es	number_person_gender	en "she" vs es "Él tiene"	change es: Él → Ella
1818	es	number_person_gender	en "she" vs es "él no estaría"	change es: él → ella
2006	es	number_person_gender	en "He" vs es "Ella terminó"	change es: Ella → Él
2072	es	number_person_gender	en "she had commanded" vs es "él ya había ordenado"	change es: él → ella
2090	es	number_person_gender	en "she" vs es "él no los hubiera mandado"	change es: él → ella
2343	es	number_person_gender	en "he gripped" vs es "ella la agarró"	change es: ella → él
2396	es	number_person_gender	en "She admitted" vs es "Él admitió"	change es: Él → Ella
2477	es	number_person_gender	en "she" vs es "él había estado"	change es: él → ella
2838	es	number_person_gender	en "He wishes he had pushed" vs es "Ojalá yo hubiera empujado" (I)	change es: Ojalá hubiera empujado (él) / Él desearía haber empujado
