exercise_id	lang	category	what_differs	proposed_fix
21509	es	number_person_gender	en "she" skates vs es "patina él" (he)	change es: ¿Dónde patina él? → ¿Dónde patina ella?
21557	hu	clause	en "The big pink rose is soft and fresh" vs hu «A kezében egy nagy rózsaszín rózsa van» (in her hand there is a big pink rose); "soft and fresh" missing, "in her hand" added	change hu: A nagy rózsaszín rózsa puha és friss. (en gap "is" has no hu copula; pick another gap or drop hu from this gap)
21569	es	number_person_gender	en "She comes" vs es "Él viene" (he)	change es: Él viene → Ella viene
21711	es	number_person_gender	en "she run" vs es "corre él" (he)	change es: corre él → corre ella
21743	es	number_person_gender	en "She drinks" vs es "Él se bebe" (he)	change es: Él se bebe → Ella se bebe
21793	ua	clause	en "to feel warm and safe" vs ua «щоб зігрітися» (to warm up); "safe" missing	change ua: щоб зігрітися → щоб зігрітися й відчувати себе в безпеці
21793	fr	clause	en "to feel warm and safe" vs fr «pour se sentir bien au chaud» (feel nice and warm); "safe" missing	change fr: pour se sentir bien au chaud → pour se sentir au chaud et en sécurité
21841	es	number_person_gender	en "He prepares" vs es "Ella prepara" (she)	change es: Ella prepara → Él prepara
21843	es	number_person_gender	en "He makes" vs es "Ella hace" (she)	change es: Ella hace → Él hace
22002	fr	clause	en "Sausages by the fjord" vs fr «Des saucisses» (place dropped)	change fr: Des saucisses. → Des saucisses au bord du fjord.
22111	all	clause	en "with a marker" vs all 8 natives (none mention the marker)	change en: drop "with a marker" → He circles one date in his schedule.
22131	hu	clause	en "My school is big, old and full of students" vs hu «A nagy régi iskola ott van a fák mögött» (the big old school is there behind the trees)	change hu: Az iskolám nagy, régi és tele van diákokkal. (gap: van)
22210	de	noun_verb_place	en "stopped at every chart" vs de «blieb überall stehen» (stopped everywhere); chart missing	change de: blieb überall stehen → blieb bei jedem Diagramm stehen
22210	fr	noun_verb_place	en "stopped at every chart" vs fr «s'est arrêté partout» (stopped everywhere); chart missing	change fr: s'est arrêté partout → s'est arrêté devant chaque graphique
22300	es	number_person_gender	en "She searched" vs es "Él registró" (he)	change es: Él registró → Ella registró
22420	es	number_person_gender	en "She uses" vs es "Él usa" (he)	change es: Él usa → Ella usa
22671	es	number_person_gender	en "She buys" vs es "Él compra" (he)	change es: Él compra → Ella compra
22686	es	number_person_gender	en "She pays" vs es "Él paga" (he)	change es: Él paga → Ella paga
22835	es	number_person_gender	en "She sings" vs es "Él canta" (he)	change es: Él canta → Ella canta
22846	es	number_person_gender	en "She takes off" vs es "Él se quita" (he)	change es: Él se quita → Ella se quita
23033	es	number_person_gender	en "She walks down" vs es "Él baja" (he)	change es: Él baja → Ella baja
23088	es	number_person_gender	en "He pulls" vs es "Ella se sube" (she)	change es: Ella se sube → Él se sube
23110	cz	gap	en gap "gets" (verb) vs cz gap «ospalá» (sleepy, the adjective)	change cz: gap ospalá → je (or rephrase: V nočním vlaku se vždycky stane ospalou, gap stane)
