exercise_id	lang	category	what_differs	proposed_fix
17102	hu	time_frame	en "is" (present) vs hu «tegnap ... volt» (yesterday was)	change hu: A házi feladata egy nagy kupacban van az asztalon. (gap van)
17121	ua	clause	ua adds answer «Дуже багато» and gap «багато» (a lot) vs en gap "much" in question	change ua: Скільки в тебе сьогодні домашнього завдання? (drop answer; gap Скільки)
17121	fr	gap	en "How much ... ?" vs fr «Tu as beaucoup de devoirs» (do you have a lot of); gap «beaucoup de» vs "much"	change fr: Combien de devoirs as-tu ce soir ? (gap Combien de)
17121	sk	clause	en question "How much homework do you have" vs sk statement «Dnes večer mám veľa» (I have a lot)	change sk: Koľko domácej úlohy máš dnes večer? (gap Koľko)
17121	cz	clause	en question "How much homework do you have" vs cz statement «Dnes večer mám hodně» (I have a lot)	change cz: Kolik domácího úkolu máš dnes večer? (gap Kolik)
17181	es	number_person_gender	en "He" vs es «Ella»	change es: Ella → Él
17209	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
17212	hu	time_frame	en "is quiet" vs hu «tegnap nyugodt volt» (was quiet yesterday)	change hu: A barna ló nyugodt a széles zöld sztyeppén. (drop tegnap; gap per en)
17366	es	number_person_gender	en "he" vs es «ella»	change es: ella → él
17381	hu	noun_verb_place	en "Ice hockey is a fast game" vs hu «A gyors játék ott van» (the fast game is there); ice hockey missing	change hu: A jégkorong gyors játék a hideg jégen.
17443	ua	gap	en gap "the" vs ua gap «теплої» (warm)	change ua gap: теплої → gap that maps to en (or change en gap to warm)
17443	sk	gap	en gap "the" vs sk gap «teplej» (warm)	change sk gap: teplej → gap that maps to en (or change en gap to warm)
17443	cz	gap	en gap "the" vs cz gap «teplé» (warm)	change cz gap: teplé → gap that maps to en (or change en gap to warm)
17472	ua	gap	en gap "an" vs ua gap «білим» (white)	change ua gap: білим → gap that maps to en (or change en gap to white)
17472	sk	gap	en gap "an" vs sk gap «bielym» (white)	change sk gap: bielym → gap that maps to en (or change en gap to white)
17472	cz	gap	en gap "an" vs cz gap «bílým» (white)	change cz gap: bílým → gap that maps to en (or change en gap to white)
17605	es	number_person_gender	en "He" vs es «Ella»	change es: Ella → Él
17724	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
17724	ua	gap	en gap "an" vs ua gap «відкритому» (open)	change ua gap: відкритому → gap that maps to en (or change en gap to open)
17724	sk	gap	en gap "an" vs sk gap «otvorenom» (open)	change sk gap: otvorenom → gap that maps to en (or change en gap to open)
17724	cz	gap	en gap "an" vs cz gap «otevřeném» (open)	change cz gap: otevřeném → gap that maps to en (or change en gap to open)
17780	ua	gap	en gap "an" (indefinite) vs ua gap «це» (this)	change ua: drop це, pick another gap (or change en gap)
17780	sk	gap	en gap "an" (indefinite) vs sk gap «to» (that/the)	change sk: drop to, pick another gap (or change en gap)
17780	cz	gap	en gap "an" (indefinite) vs cz gap «to» (that/the)	change cz: drop to, pick another gap (or change en gap)
17794	ua	gap	en gap "many" vs ua gap «лапок» (paws)	change ua gap: лапок → Скільки
17794	sk	gap	en gap "many" vs sk gap «labiek» (paws)	change sk gap: labiek → Koľko
17794	cz	gap	en gap "many" vs cz gap «paček» (paws)	change cz gap: paček → Kolik
