exercise_id	lang	category	what_differs	proposed_fix
6736	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
6783	hu	clause	en "that she broke" vs hu "amely tavasszal eltört" (which broke; agent she missing)	change hu: amely tavasszal eltört → amelyet tavasszal eltört
6806	es	number_person_gender	en "she" vs es "él"	change es: él → ella
6840	es	number_person_gender	en "She" vs es "Él"	change es: Él → Ella
6889	hu	gap	en gap "have" vs hu gap "nem" (not)	change hu gap: nem → jutottam el
6958	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
7317	de	clause	en "before she found this pink tube" missing in de	change de: add bevor sie diese rosa Tube fand
7352	es	number_person_gender	en "she" vs es "él"	change es: él → ella
7545	es	number_person_gender	en "She" vs es "Él"	change es: Él → Ella
7545	hu	gap	hu "naplementekor érdemes a legjobb leülni" is garbled; gap "érdemes" (worth) vs en "was"	change hu: hogy a naplemente a legjobb idő a leülésre, gap a legjobb idő
7607	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
7664	de	gap	en "will be making" vs de gap "gerade machen" (= straighten)	change de: werden sie vor dem Lauf gerade noch eine Regenbogenschüssel machen, gap werden
7686	ua	number_person_gender	en "they" vs ua «ми» (we)	change ua: Ніколи ми не бачили → Ніколи вони не бачили
7907	es	number_person_gender	en "He wishes he had put" vs es "Ojalá yo hubiera puesto" (I)	change es: Ojalá yo hubiera puesto → Él desearía haber puesto
8025	es	number_person_gender	en "she" vs es "él"	change es: él → ella
8037	es	number_person_gender	en "she" vs es "él"	change es: él → ella
8174	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
8349	es	number_person_gender	en "He wishes he knew" vs es "Ojalá yo supiera" (I)	change es: Ojalá yo supiera → Ojalá él supiera
8435	tr	gap	en gap "the" vs tr gap "O" (she)	change tr gap: O → soldaki
8518	es	number_person_gender	en "he" vs es "ella"	change es: ella → él
8613	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
8725	ua	gap	en gap "is said" vs ua gap «організували» (organised)	change ua gap: організували → Кажуть
8725	hu	gap	en gap "is said" vs hu gap "szervezték meg" (organised)	change hu gap: szervezték meg → állítólag
8770	es	number_person_gender	en "She" vs es "él"	change es: él → ella
8838	es	number_person_gender	en "He" vs es "Ella"	change es: Ella → Él
8934	ua	gap	en gap "is said" vs ua gap «є» (is)	change ua gap: є → Кажуть
9086	es	number_person_gender	en "She" vs es "Él"	change es: Él → Ella
9325	ua	time_frame	en "all afternoon" vs ua «цілий день» (all day)	change ua: цілий день → усе пообіддя
9413	ua	noun_verb_place	en "smuggles" vs ua «возить» (carries)	change ua: возить → провозить контрабандою
9586	de	clause	en "and her legs feel it" missing in de	change de: add und ihre Beine spüren es
9656	es	noun_verb_place	es "podría haber tocar" broken verb form	change es: tocar → tocado la campana
9705	es	noun_verb_place	es "Podrían haber firmar" broken verb form	change es: firmar → firmado
9705	hu	noun_verb_place	en "signed" vs hu "írni" (write)	change hu: írni → aláírni
10182	es	number_person_gender	en "I have seen" vs es "Ella nunca había visto" (she, pluperfect)	change es: Ella nunca había visto → Nunca he visto
