exercise_id	lang	category	what_differs	proposed_fix
23495	hu	clause	en "The soda in the can is orange and very fizzy" vs hu «A narancssárga üdítő ott van a dobozban» (the orange soda is there in the can; "very fizzy" dropped, orange moved to attribute)	change hu: Az üdítő a dobozban narancssárga és nagyon szénsavas (re-pick gap, no copula in 3sg)
23606	hu	noun_verb_place	en "The soup spoon is bigger than the teaspoon" vs hu «A három kanál ott van a fa asztalon» (the three spoons are on the wooden table)	change hu: A leveseskanál nagyobb, mint a teáskanál (re-pick gap)
23662	de	noun_verb_place	en "science lesson" vs de «Physikstunde» (physics lesson)	change de: Physikstunde → Naturwissenschaftsstunde (or Sachkundestunde)
23699	es	number_person_gender	en "She raises her glass" vs es «Él levanta su copa» (he)	change es: Él → Ella
23705	es	number_person_gender	en "She has a plan" vs es «Él tiene un plan» (he)	change es: Él → Ella
23720	es	number_person_gender	en "She waves" vs es «Él saluda» (he)	change es: Él → Ella
23998	hu	noun_verb_place	en "The delivery man is in a yellow hi-vis vest" vs hu «A kapuban ... futár van» (added "at the gate")	change hu: A futár sárga láthatósági mellényben van (drop kapuban)
24164	hu	noun_verb_place	en "The row of bricks is long and very straight" vs hu «A falon egy hosszú, nagyon egyenes téglasor van» (added "on the wall")	change hu: drop A falon (e.g. A téglasor hosszú és nagyon egyenes; re-pick gap)
24450	hu	clause	en "The surfboard is long, white and very light" vs hu «A parton egy hosszú, fehér szörfdeszka van» (added "on the beach", "very light" dropped)	change hu: A szörfdeszka hosszú, fehér és nagyon könnyű (re-pick gap)
24568	es	number_person_gender	en "She wears the sweater" vs es «Él lleva el jersey» (he)	change es: Él → Ella
24603	es	number_person_gender	en "Which T-shirt does he choose" vs es «¿Qué camiseta elige ella?» (she)	change es: ella → él
24635	es	number_person_gender	en "He draws five green arms" vs es «Ella le dibuja» (she)	change es: Ella → Él
24644	es	number_person_gender	en "He does not need many colours" vs es «Ella no necesita» (she)	change es: Ella → Él
24664	es	number_person_gender	en "What does she have on her arm" vs es «¿Qué tiene él en el brazo?» (he)	change es: él → ella
24693	de	clause	en "in the alley" vs de (missing; no place phrase)	change de: add in der Gasse (Das Taxi fährt in der Gasse an vier geparkten Autos vorbei.)
24869	es	number_person_gender	en "She reads here daily" vs es «Él lee aquí a diario» (he)	change es: Él → Ella
25189	de	noun_verb_place	en "The board" vs de «Die Wand» (wall); es/fr/tr/hu say board/panel	change de: Die Wand → Die Werkzeugwand/Das Brett (Die Lochwand)
25189	ua	noun_verb_place	en "The board" vs ua «Стіна» (wall)	change ua: Стіна → Дошка (Панель)
25189	sk	noun_verb_place	en "The board" vs sk «Stena» (wall)	change sk: Stena → Doska (Panel)
25189	cz	noun_verb_place	en "The board" vs cz «Stěna» (wall)	change cz: Stěna → Deska (Panel)
25227	es	number_person_gender	en "She needs only one small blob" vs es «Él solo necesita» (he)	change es: Él → Ella
25312	tr	noun_verb_place	en "The team waits at the finish line" vs tr «Takım bitiş çizgisinin yanında» (verb "waits" missing)	change tr: add bekliyor (Takım bitiş çizgisinin yanında bekliyor.)
25312	hu	noun_verb_place	en "The team waits at the finish line" vs hu «A csapat a célvonal mellett» (verb "waits" missing)	change hu: add vár (A csapat a célvonal mellett vár.)
25327	es	number_person_gender	en "She runs around the curve" vs es «Él toma la curva» (he)	change es: Él → Ella
