exercise_id	lang	category	what_differs	proposed_fix
3067	de	gap	en gap "is widely accepted" vs de gap «ist es» (auxiliary only, meaning word not in gap)	change de gap: ist es → allgemein anerkannt
3146	de	noun_verb_place	en "both had golden lids" vs de «glänzten beide Lider» (both lids shone; gold and the two people lost)	change de: glänzten beide Lider → hatten beide goldene Lider
3384	es	number_person_gender	en "He wishes" vs es «Ojalá yo hubiera» (I)	change es: Ojalá yo hubiera mantenido → Él desearía haber mantenido
3477	es	number_person_gender	en "she" vs es «él» (he)	change es: él → ella
3649	es	noun_verb_place	en "the drone" vs es «él» (he; drone missing)	change es: él llevará → el dron llevará
3715	es	number_person_gender	en "she" vs es «él» (he)	change es: Si él tuviera → Si ella tuviera
3761	es	number_person_gender	en "she" vs es «él» (he)	change es: él se planteó → ella se planteó
4119	es	number_person_gender	en "she" vs es «él» (he)	change es: él no estaría → ella no estaría
4164	es	number_person_gender	en "He wishes" vs es «Ojalá yo pudiera» (I)	change es: Ojalá yo pudiera → Él desearía poder
4196	de	clause	en "when he squeezed it" missing in de	change de: add ", als er es ausdrückte" after gehalten
4314	es	number_person_gender	en "she" vs es «él» (he)	change es: él ahora estaría → ella ahora estaría
4636	es	number_person_gender	en "She knew" vs es «Él sabía» (he)	change es: Él sabía → Ella sabía
4728	es	number_person_gender	en "she" vs es «él» (he)	change es: Si él ve → Si ella ve
4780	sk	noun_verb_place	en "her brother" missing in sk (no subject)	change sk: bude uťahovať → jej brat bude uťahovať
4780	cz	noun_verb_place	en "her brother" missing in cz (no subject)	change cz: bude utahovat → její bratr bude utahovat
4884	es	number_person_gender	en "he" vs es «usted» (formal you)	change es: Si usted mantiene → Si él mantiene
4960	de	time_frame	en "will be pouring" (at six) vs de «gießt gerade» (is pouring right now)	change de: sie gießt gerade Harz → da wird sie gerade Harz ... gießen
5157	es	number_person_gender	en "he" vs es «ella» (she)	change es: Si ella sigue → Si él sigue
5578	es	number_person_gender	en "I have seen" vs es «Él ... había visto» (he had seen)	change es: Él nunca en esta cocina había visto → Nunca he visto en esta cocina
5578	de	clause	en "in this kitchen" missing in de	change de: add "in dieser Küche"
5628	es	number_person_gender	en "she pays" vs es «él pague» (he)	change es: él pague → ella pague
5703	es	number_person_gender	en "she" vs es «él» (he)	change es: Si él lee → Si ella lee
5703	de	noun_verb_place	en "the scroll" missing in de «lauter vorliest»	change de: lauter vorliest → die Schriftrolle lauter vorliest
5728	es	number_person_gender	en "She promised" vs es «Él prometió» (he)	change es: Él prometió → Ella prometió
5738	de	clause	en "on the counter" missing in de	change de: add "auf der Arbeitsplatte"
5829	es	number_person_gender	en "She's waited" vs es «Él ya ha aguantado» (he)	change es: Él → Ella
5870	de	clause	en "for the photos" missing in de	change de: add "für die Fotos"
5960	de	clause	en "half this market's stock" vs de «die Hälfte» (market's stock missing)	change de: die Hälfte → die Hälfte der Ware auf diesem Markt
5985	es	number_person_gender	en "He" vs es «Ella» (she)	change es: Ella normalmente → Él normalmente
6179	es	number_person_gender	en "she" vs es «él» (he)	change es: él habrá ahorrado → ella habrá ahorrado
6228	es	number_person_gender	en "She got" vs es «Él consiguió» (he)	change es: Él consiguió → Ella consiguió
6272	ua	gap	en gap "the" (article) vs ua gap «найкраща» (best)	article gap impossible in ua: exclude ua from this exercise or change en gap: the → best
6272	tr	gap	en gap "the" (article) vs tr gap «en iyi» (best)	article gap impossible in tr: exclude tr from this exercise or change en gap: the → best
6272	hu	gap	en gap "the" (article) vs hu gap «legjobb» (best)	change hu gap: legjobb → az (hu has the article)
6272	sk	gap	en gap "the" (article) vs sk gap «najlepší» (best)	article gap impossible in sk: exclude sk from this exercise or change en gap: the → best
6272	cz	gap	en gap "the" (article) vs cz gap «nejlepší» (best)	article gap impossible in cz: exclude cz from this exercise or change en gap: the → best
6313	es	number_person_gender	en "He wishes" vs es «Ojalá yo hubiera» (I)	change es: Ojalá yo hubiera añadido → Él desearía haber añadido
