exercise_id	lang	category	what_differs	proposed_fix
15212	ua	number_person_gender	en "this exercise" (sg) vs ua «Ці вправи» (these exercises, pl)	change ua: Ці вправи → Цю вправу
15333	es	number_person_gender	en "She" vs es "Él" (he)	change es: Él se pone → Ella se pone
15390	es	number_person_gender	en "She" vs es "él" (he)	change es: él tiene → ella tiene
15390	ua	gap	en gap "an" vs ua gap «таке» (such)	change ua: таке → одне (or re-gap)
15390	sk	gap	en gap "an" vs sk gap "ten" (that/the)	change sk: ten → jeden (or re-gap)
15390	cz	gap	en gap "an" vs cz gap "ten" (that/the)	change cz: ten → jeden (or re-gap)
15420	ua	gap	en gap "a" vs ua gap «цей» (this)	change ua: цей один колосок → один колосок, gap один
15420	sk	gap	en gap "a" vs sk gap "ten" (that)	change sk: ten jeden klas → jeden klas, gap jeden
15420	cz	gap	en gap "a" vs cz gap "ten" (that)	change cz: ten jeden klas → jeden klas, gap jeden
15616	es	number_person_gender	en "He" vs es "Ella" (she)	change es: Ella hace → Él hace
15616	ua	gap	en gap "an" vs ua gap «того» (that)	change ua: того яйця → одного яйця, gap одного
15616	sk	gap	en gap "an" vs sk gap "toho" (that)	change sk: toho vajca → jedného vajca, gap jedného
15616	cz	gap	en gap "an" vs cz gap "toho" (that)	change cz: toho vejce → jednoho vejce, gap jednoho
15626	es	number_person_gender	en imperative "Add water" vs es "Ella añade agua" (she adds)	change es: Ella añade agua → Añade agua
15668	tr	gap	en gap "is" vs tr gap "sinir bozucu" (annoying)	re-gap tr (e.g. add copula -dir) or accept structural difference
15668	hu	gap	en gap "is" vs hu gap "idegesítő" (annoying)	re-gap hu: no copula in Hungarian, choose another gap or accept
15835	es	number_person_gender	en "She" vs es "Él" (he)	change es: Él coge → Ella coge
15844	fr	clause	en "onto the fork" vs fr missing (only «enrouler les pâtes»)	change fr: add «sur la fourchette»
15885	tr	gap	en gap "is" vs tr gap "turuncu" (orange)	re-gap tr or accept structural difference
15885	hu	gap	en gap "is" vs hu gap "narancssárga" (orange)	re-gap hu or accept structural difference
15941	tr	gap	en gap "are" vs tr gap "çıtır" (crispy)	re-gap tr or accept structural difference
15941	hu	gap	en gap "are" vs hu gap "ropogós" (crispy)	re-gap hu or accept structural difference
15997	fr	gap	en gap "sits" vs fr gap «est» (is)	change fr: est → est assise, gap est assise
16085	ua	gap	en "is an amazing feeling" gap "an" vs ua «Цей вечірній геймінг — найкращий» (this evening gaming is the best), gap «Цей»	change ua: rewrite to «Геймінг уночі — неймовірне відчуття» and re-gap
16085	sk	gap	en "is an amazing feeling" gap "an" vs sk "Tento večerný gaming je najlepší" (this is the best), gap "Tento"	change sk: rewrite to "Hranie v noci je úžasný pocit" and re-gap
16085	cz	gap	en "is an amazing feeling" gap "an" vs cz "Tenhle večerní gaming je nejlepší" (this is the best), gap "Tenhle"	change cz: rewrite to "Hraní v noci je úžasný pocit" and re-gap
16085	tr	gap	en gap "an" vs tr gap "Bu" (this); sentence has «bir» for "an"	change tr: gap Bu → bir (and drop Bu: «Akşam oyunu...»)
16245	tr	gap	en gap "is" vs tr gap "kibar" (polite)	re-gap tr or accept structural difference
16245	hu	gap	en gap "is" vs hu gap "udvarias" (polite)	re-gap hu or accept structural difference
16276	tr	gap	en gap "is" vs tr gap "benekli" (spotted)	re-gap tr or accept structural difference
16276	hu	gap	en gap "is" vs hu gap "foltos" (spotted)	re-gap hu or accept structural difference
16363	es	number_person_gender	en "She says" vs es "Él dice" (he)	change es: Él dice → Ella dice
16407	ua	gap	en gap "many" vs ua gap «автівок» (cars)	change ua: gap автівок → небагато
16407	tr	gap	en gap "many" vs tr gap "araba" (car)	change tr: gap araba → fazla
16407	hu	gap	en gap "many" vs hu gap "autó" (car)	change hu: gap autó → sok
16407	sk	gap	en gap "many" vs sk gap "áut" (cars)	change sk: gap áut → veľa
16407	cz	gap	en gap "many" vs cz gap "aut" (cars)	change cz: gap aut → moc
16446	fr	number_person_gender	en "the farm has five goats" vs fr «cinq autres chèvres» (five other goats = six)	change fr: cinq autres chèvres → cinq chèvres
16501	es	number_person_gender	en "She" vs es "Él" (he)	change es: Él se pone → Ella se pone
16515	es	number_person_gender	en "She" vs es "Él" (he)	change es: Él no tiene → Ella no tiene
16515	ua	gap	en gap "many" vs ua gap «злитків золота» (gold bars)	change ua: gap злитків золота → небагато
16515	tr	gap	en gap "many" vs tr gap "altın külçe" (gold bar)	change tr: gap altın külçe → fazla
16515	hu	gap	en gap "many" vs hu gap "aranyrúd" (gold bar)	change hu: gap aranyrúd → sok
16515	sk	gap	en gap "many" vs sk gap "tehličiek zlata" (gold bars)	change sk: gap tehličiek zlata → veľa
16515	cz	gap	en gap "many" vs cz gap "cihel zlata" (gold bars)	change cz: gap cihel zlata → moc
16552	hu	clause	en "The grandfather is old, with a white beard and a cap" vs hu «A nagypapa a stégen van» (grandpa is on the jetty)	change hu: A nagypapa öreg, fehér szakálla és sapkája van (re-gap)
16552	de	clause	en "and a cap" vs de missing (only «einen weißen Bart»)	change de: add «und eine Mütze»
16552	fr	clause	en "and a cap" vs fr missing (only «une barbe blanche»)	change fr: add «et une casquette»
16862	es	number_person_gender	en "She meets" vs es "él se cruza" (he)	change es: él se cruza → ella se cruza
17049	es	number_person_gender	en "she hits" vs es "él golpea" (he)	change es: él golpea → ella golpea
