exercise_id	lang	category	what_differs	proposed_fix
12836	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
12836	tr	noun_verb_place	en "watering can" vs tr «kova» (bucket)	change tr: kova → sulama kabı
12845	es	number_person_gender	en "she" vs es «él» (he)	change es: él → ella
13112	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
13157	ua	time_frame	en "is" vs ua «була» (was)	change ua: була → є (gap є)
13157	hu	clause	en "is yellow and very old" vs hu «Az asztalon nagy sajtkerék van» (there is a big cheese wheel on the table)	change hu: A nagy sajtkerék sárga és nagyon régi.
13171	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
13260	ua	gap	en gap "much" vs ua gap «жуйки» (chewing gum)	change ua gap: жуйки → Скільки
13260	tr	gap	en gap "much" vs tr gap «sakız» (chewing gum)	change tr gap: sakız → ne kadar
13260	hu	gap	en gap "much" vs hu gap «rágógumi» (chewing gum)	change hu gap: rágógumi → Mennyi
13260	sk	gap	en gap "much" vs sk gap «žuvačky» (chewing gum)	change sk gap: žuvačky → Koľko
13260	cz	gap	en gap "much" vs cz gap «žvýkačky» (chewing gum)	change cz gap: žvýkačky → Kolik
13312	es	number_person_gender	en "He" vs es «Ella» (she)	change es: Ella → Él
13416	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
13609	hu	gap	en gap "is" vs hu gap «erős» (strong)	change hu: gap is not the copula; pick another gap or rephrase so the gap matches
13707	es	number_person_gender	en "He" vs es «ella» (she)	change es: ella → él
13807	hu	gap	en gap "is" vs hu gap «éles» (sharp)	change hu: gap is not the copula; pick another gap or rephrase so the gap matches
13881	ua	gap	en gap "many" vs ua gap «рослин» (plants)	change ua gap: рослин → багато
13881	tr	gap	en gap "many" vs tr gap «bitkisi» (plant)	change tr gap: bitkisi → birçok
13881	hu	gap	en gap "many" vs hu gap «pamutnövény» (cotton plant)	change hu gap: pamutnövény → sok
13881	sk	gap	en gap "many" vs sk gap «rastlín» (plants)	change sk gap: rastlín → veľa
13881	cz	gap	en gap "many" vs cz gap «rostlin» (plants)	change cz gap: rostlin → hodně
14003	hu	clause	en "is thick and white" vs hu «A tejszín a tálban van» (the cream is in the bowl)	change hu: A tejszín sűrű és fehér.
14073	de	gap	en gap "is going to" vs de gap «überqueren» (cross)	change de gap: überqueren → hat vor
14073	tr	gap	en gap "is going to" vs tr gap «geçmek» (to cross)	change tr gap: geçmek → niyetinde
14073	sk	gap	en gap "is going to" vs sk gap «prejsť» (cross)	change sk gap: prejsť → Chystá sa
14073	cz	gap	en gap "is going to" vs cz gap «přejít» (cross)	change cz gap: přejít → Chystá se
14158	de	gap	en gap "is going to" vs de gap «einzugießen» (pour)	change de gap: einzugießen → hat vor
14158	tr	gap	en gap "is going to" vs tr gap «doldurmak» (to fill)	change tr gap: doldurmak → niyetinde
14158	sk	gap	en gap "is going to" vs sk gap «naliať» (pour)	change sk gap: naliať → Chystá sa
14158	cz	gap	en gap "is going to" vs cz gap «nalít» (pour)	change cz gap: nalít → Chystá se
14217	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
14217	fr	noun_verb_place	en "does not spend a lot of money" vs fr «n'a pas beaucoup de monnaie» (does not have much change)	change fr: Elle ne dépense pas beaucoup d'argent dans ce magasin. (gap argent)
14315	tr	clause	en "is in a misty forest" vs tr «sisli ormanda çok sessizdir» (is very quiet in the misty forest); gap «sessizdir» (is quiet)	change tr: Geyik sisli bir ormanda. / Geyik sisli ormandadır (gap ormandadır)
14375	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
14396	es	number_person_gender	en "she" vs es «él» (he)	change es: él → ella
14424	hu	number_person_gender	en "they eat" vs hu «ő lassan eszik» (he/she eats)	change hu: ő lassan eszik → lassan eszik (ők lassan eszik)
14514	hu	clause	en "His drawing is almost finished" vs hu «A fiú a lépcsőn van» (the boy is on the stairs)	change hu: A rajza majdnem kész.
14574	es	number_person_gender	en "She" vs es «Él» (he)	change es: Él → Ella
14624	hu	clause	en "The water in the bottle is very cold" vs hu «A palack a korláton van» (the bottle is on the railing)	change hu: A víz a palackban nagyon hideg.
14624	tr	gap	en gap "is" vs tr gap «soğuk» (cold)	change tr: Şişedeki su çok soğuktur (gap soğuktur) or pick another gap
14690	ua	noun_verb_place	en "dropped" vs ua «кинув» (threw)	change ua: кинув → впустив
14916	hu	gap	en gap "on" vs hu gap «van» (is)	change hu gap: van → falon (or rephrase so the gap is the location)
