exercise_id	lang	category	what_differs	proposed_fix
19229	tr	clause	en "and no free hands" missing in tr «On tane ıslak tırnağı var»	change tr: add «ve hiç boş eli yok»
19229	hu	clause	en "and no free hands" missing in hu «Tíz nedves körme van»	change hu: add «és nincs szabad keze»
19374	ua	gap	en gap "an" (indefinite) vs ua gap «ця» (this)	change ua: Це стара газета... with a different gap (e.g. стара)
19374	sk	gap	en gap "an" (indefinite) vs sk gap «tie» (those)	change sk: Sú to staré noviny... with a different gap
19374	cz	gap	en gap "an" (indefinite) vs cz gap «ty» (those)	change cz: Jsou to staré noviny... with a different gap
19464	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
19621	es	number_person_gender	en "He" vs es «Ella»	change es: Ella → Él
19793	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
19793	ua	gap	en gap "a" (indefinite) vs ua gap «ту» (that)	change ua: drop ту, use a different gap
19793	sk	gap	en gap "a" (indefinite) vs sk gap «tú» (that)	change sk: drop tú, use a different gap
19793	cz	gap	en gap "a" (indefinite) vs cz gap «tu» (that)	change cz: drop tu, use a different gap
20055	es	number_person_gender	en "She" vs es «él»	change es: él → ella
20155	ua	gap	en gap "a bowl" vs ua gap «одну» (one), noun left out	change ua gap: одну → одну миску
20155	hu	gap	en gap "a bowl" vs hu gap «Egy», noun left out	change hu gap: Egy → Egy tál
20155	sk	gap	en gap "a bowl" vs sk gap «jednu» (one), noun left out	change sk gap: jednu → jednu misku
20155	cz	gap	en gap "a bowl" vs cz gap «jednu» (one), noun left out	change cz gap: jednu → jednu misku
20293	hu	clause	en "is white and very small" vs hu «ott van az asztalon» (is there on the table)	change hu: A kis tabletta fehér és nagyon kicsi.
20388	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
20388	hu	gap	en gap "its" vs hu gap «a» (the article)	change hu: use «az ő» as gap (az ő nagy zöld leveleit)
20582	hu	gap	en gap "her" vs hu gap «a» (the article)	change hu: use «a saját» or «az ő» as gap
20837	es	number_person_gender	en "she" vs es «él»	change es: él → ella
20884	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
20891	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
21004	hu	gap	en gap "his" vs hu gap «a» (the article)	change hu: use «a saját» or «az ő» as gap
21105	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
21210	es	number_person_gender	en "She" vs es «él»	change es: él → ella
21258	es	number_person_gender	en "She" vs es «Él»	change es: Él → Ella
21258	hu	gap	en gap "her" vs hu gap «A» (the article; saját = own)	change hu gap: A → A saját
21286	hu	gap	en gap "his" vs hu gap «a» (the article, also ungrammatical «a oldalát»)	change hu: A férfi a saját oldalát... gap «a saját»
