s046	translate	156 E blocks written. Guessed: 38994, 41509, 42998, 44853, 38569, 38349. English looks wrong: 38346 (option "used"), 44851 (options "used", "was used"), 41509 ("a quite"), 44853 ("an unique"), 42998 ("to had been").
s047	translate	151 E blocks written; guessed: 40643, 42127, 43166, 36889; English looks wrong: 40643 (mustn't have), 42525 (to not standing), 43172 (did she smelled).
s048	translate	158 E blocks written; guessed: 38982, 38984, 38986 (the loanword lock forces de "Gate" and ua "гейт" for a farm gate); English looks off: 40897 (distractor "have" with a singular subject), 42950 and 41940 (options end with a full stop, which I dropped).
s051	translate	150 E blocks written; guessed: 39991, 37402, 38815, 42600, 39762; English looks wrong: none.
s049	translate	151 E blocks written; guessed: 40353, 40351, 39544, 39687, 44838; the English looks wrong in 39456, 39700, 36979 and 39460 (the distractor "was flowed" is malformed).
s050	translate	154 E blocks written; guessed or English looks wrong: 42585 ("used" without "to"), 44186 ("wouldn't" without "have"), 39894 ("a biggest"), 36914 ("stamped her authority on" documents).
s052	translate	157 E blocks written. Guessed or English looks wrong: 43462 (inversion with "had … stood up"), 43732 ("The study that you put into these books"), 43458 ("the stack had followed protocol"), 43466 (malformed distractor "a stacks").
s053	translate	157 E blocks written. Guessed: 43319, 43346, 40288, 43324, 37599, 44211. English looks wrong: 37599 ("to have been cared" is missing "for").
s054	translate	150 E blocks written; guessed: 37458, 41797, 39856, 41753, 42639, 40039, 44545, 38154, 37200 (tr relative cells empty), 41754 (hu), 40036 (English looks wrong: "do" option in inversion), 39262, 44547.
s055	translate	158 E blocks written. Guessed: 42751 (distractor "would to"), 40083 ("Rarely do two people laugh" with the options do/they do/are), 37887 ("combated" in the sense "fought against"). English looks wrong: 38141 (the option "used" has no "to"), 40955 (the hint "sorting" doesn't match the word "messy").
s056	translate	152 E blocks written; guessed on 41329, 40615, 36790, 40905, 40911, 36796; English suspect in 41323, 40722 (option "have you lost"), 36635, 41364.
s057	translate	157 E blocks written. Guessed: 36957, 36958, 41184, 43597. English looks wrong: 42150 and 43597 ("in case they forget" reads oddly).
s058	translate	156 E blocks written. Guessed: 42240, 36677, 43285, 41208. English looks wrong: 42235 (the "early is before it is ready" line reads oddly), 43279 ("edged" as a gap verb), 38778 ("in order" without "to").
s059	translate	158 E blocks written. Guessed: 37537, 37538, 40805, 40807, 41340, 42102, 44582, 38641. English looks wrong: 42102 ("got someone to reach into the oven for her").
s060	translate	157 E blocks written. Guessed: 42491 (the "she did" option), 43867 (malformed "used" distractor). English looks wrong: 42212 ("joined the toast on the family agenda").
s061	translate	151 E blocks written. English looks wrong: 44313 (noon at a night market). Guessed: 40125, 44791, 38896, 39368, 39524, 36586, 39670 (Turkish whose-relatives).
s062	translate	150 E blocks written; guesses on 42840, 42857, 42969, 42976, 43227, 42553, 42550 (ua/es/fr sibling rendered as "sister"); the English looks wrong in 42840 and 42551.
s063	translate	150 E blocks written; guessed: 38496, 43487, 42538, 42261; English looks wrong: 43449 (distractor "used" is missing "to"), 38501 and 43492 (the modal distractors don't fit the sentence), 36972 ("would hate" with a state verb makes the distractor ambiguous).
s064	translate	158 E blocks written; guessed: 38950, 44363, 38044, 41998; English looks wrong: 40751 ("used" without "to"), 43648 ("A streetlights"), 40974 ("was arrived"), 41990 (options end in a full stop).
s065	translate	158 E blocks written. English looks wrong: 44706 and 44177 (a question mark inside the tag options and another after the gap), 43851 and 43977 (malformed "did I/they saw"). Guessed: 36870 (tr whose), 44765 (article options), 43980 (fr "la femme").
s066	translate	150 E blocks written; guessed 41348, 38715, 43894, 44250 (tr), 44241 (es); English suspect: 43891 ("That is why it made bigger swirls" — the tube made them), 41572 (distractor "A pillars" is not a real form).
s069	translate	94 E blocks written. Guessed or English doubtful: 40147 (scooter lock = motor scooter, scene shows a kick scooter: Roller/самокат/patinete/trottinette/roller used), 44726 (guesthouse gate: Tor/ворота, not the lock's Gate/гейт), 44718, 44720, 40153, 41774, 44714 ("?" in both intro and options).
s068	translate	157 E blocks written. Guesses: 38591, 38594, 40233, 42399, 42400, 44480, 44599, 38423. English looks wrong: 44695 (negative statement followed by the "isn't he?" tag).
s067	translate	158 E blocks written. Guessed: 42162, 44302, 39618, 38880, 43113, 36656. English looks wrong: 44302, 44377, 38194 and 38739 (distractor "used" without "to"); 38884 ("an electricity"); 43111 ("a sleeves").
