item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
356	25705	es	YES	number_person_gender	en she; es Él (he)	change es: Él → Ella
357	25782	es	YES	number_person_gender	en he; es ella	change es: ¿Qué saca ella → ¿Qué saca él
358	25954	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
359	26090	hu	NO	-	-	-
360	26115	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
361	26207	es	YES	number_person_gender	en she; es él	change es: él necesita → ella necesita
362	26223	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
363	26277	es	YES	number_person_gender	en he; es Ella	change es: Ella → Él
364	26337	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
365	26389	es	YES	noun_verb_place	en wheelchairs; es sillas = chairs	change es: sillas → sillas de ruedas (gap too)
366	26389	fr	YES	noun_verb_place	en wheelchairs; fr fauteuils = armchairs	change fr: fauteuils rapides → fauteuils roulants rapides (gap fauteuils roulants)
367	26389	tr	YES	noun_verb_place	en wheelchairs; tr sandalye = chair	change tr: sandalye → tekerlekli sandalye (gap too)
368	26450	hu	NO	-	-	-
369	26493	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
370	26971	ua	YES	number_person_gender	verb left in infinitive мати, person lost	change ua: Вони мати → Вони мають (gap мають)
371	27060	hu	NO	-	-	-
372	27119	es	YES	number_person_gender	en she; es él	change es: él da → ella da
373	27195	hu	NO	-	-	-
374	27224	es	YES	number_person_gender	en he said; es ella dijo	change es: ella dijo → él dijo
375	27303	hu	NO	-	-	-
376	27345	es	YES	number_person_gender	en she; es él	change es: él cepilló → ella cepilló
377	27382	hu	NO	-	-	-
378	27490	hu	NO	-	-	-
379	27519	hu	NO	-	-	-
380	28304	es	YES	number_person_gender	en she; es él	change es: él va → ella va
381	28446	es	YES	number_person_gender	en she; es él	change es: él nada → ella nada
382	28545	es	YES	number_person_gender	en he; es Ella	change es: Ella se inclina → Él se inclina
383	28571	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
384	28854	es	YES	number_person_gender	en he told me; es Ella me dijo	change es: Ella → Él
385	29171	es	YES	number_person_gender	en she; es él	change es: contesta él → contesta ella
386	29315	es	YES	number_person_gender	en she; es él	change es: él lo esconde → ella lo esconde
387	29421	fr	YES	gap	placeholder text sans préposition left in sentence and gap	change fr: a lieu sans préposition nuit → a lieu la nuit (gap la)
388	29540	fr	NO	-	-	-
389	29556	es	YES	number_person_gender	en she; es él	change es: comprueba él → comprueba ella
390	29566	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
391	30029	es	YES	number_person_gender	en he said; es ella ha dicho	change es: ella ha dicho → él ha dicho
392	30395	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
393	30557	fr	YES	noun_verb_place	en silver car; fr voiture grise = grey car	change fr: grise → argentée
394	30835	es	YES	number_person_gender	en she; es él	change es: él corta → ella corta
395	30946	es	YES	number_person_gender	en she said; es él ha dicho	change es: él ha dicho → ella ha dicho
396	31135	es	YES	number_person_gender	en she told me; es él me dijo	change es: él → ella
397	31156	es	YES	number_person_gender	en she; es él	change es: él tiene → ella tiene
398	31267	es	YES	gap	broken al la puesta de sol; gap al ungrammatical	change es: al la puesta de sol → al atardecer (gap al)
399	31432	es	YES	number_person_gender	en she; es él	change es: él viste → ella viste
400	31457	es	YES	noun_verb_place	en bench; es estrado = platform/dais	change es: estrado → banco
401	31552	es	YES	number_person_gender	en he; es Ella	change es: Ella → Él
402	32226	ua	YES	gap	duplicated забагато багато; gap redundant	change ua: забагато багато → занадто багато (gap багато)
403	32308	es	YES	number_person_gender	en she said; es él dijo	change es: él dijo → ella dijo
404	32345	tr	YES	number_person_gender	en can you; tr gösterebilir mi = can he/she	change tr: gösterebilir mi → gösterebilir misin (gap too)
405	32384	de	YES	gap	broken word order wird sein die Ausrede	change de: wird sein die Ausrede die Arbeit → wird die Ausrede die Arbeit sein
406	32495	es	YES	number_person_gender	en she told me; es él me dijo	change es: él → ella
407	32609	es	YES	number_person_gender	en she; es Él	change es: Él → Ella
408	32949	hu	NO	-	-	-
409	35746	sk	YES	number_person_gender	en they; sk bude (singular)	change sk: bude žonglovať → budú žonglovať
410	35746	cz	YES	number_person_gender	en they; cz bude (singular)	change cz: bude žonglovat → budou žonglovat
411	37684	de	NO	-	-	-
412	37684	ua	NO	-	-	-
413	37684	es	NO	-	-	-
414	37684	fr	NO	-	-	-
415	37684	tr	NO	-	-	-
416	37684	hu	NO	-	-	-
417	37684	sk	NO	-	-	-
418	37684	cz	NO	-	-	-
419	38160	tr	YES	number_person_gender	en reported he will/his counter; tr direct speech ben/etmeyeceğim/tezgâhımda (I/my)	change tr: Kedi, tezgâhında bir daha asla başka bir güvercine hizmet etmeyeceğini bağırıyor (gap hizmet etmeyeceğini)
420	39231	sk	YES	noun_verb_place	en pan; sk hrnci = pot	change sk: v hrnci → na panvici
421	39231	cz	YES	noun_verb_place	en pan; cz hrnci = pot	change cz: v hrnci → na pánvi
422	39474	hu	YES	gap	en thanks to; hu miatt = because of	change hu: A hab miatt, → A habnak köszönhetően (gap köszönhetően)
423	39732	de	YES	time_frame	en conditional would get; de indicative past schrumpfte reads as real past	change de: Wenn er ein trauriges Lied spielen würde, würde die Menschenmenge schrumpfen (gap würde schrumpfen)
424	41062	ua	NO	-	-	-
425	41693	tr	YES	time_frame	en was; tr present tam kaos	change tr: yuva tam kaos → yuva tam bir kaostu (gap tam bir kaostu)
426	44067	tr	YES	time_frame	en must have been sitting; tr oturuyor olmalı = must be sitting now	change tr: oturuyor olmalı → oturuyor olmalıydı (gap too)
