item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
72	6806	es	YES	number_person_gender	es subject él (he) vs en she	change es: él → ella
73	6840	es	YES	number_person_gender	es Él (he) vs en She	change es: Él admitió → Ella admitió
74	6889	hu	NO	-	-	-
75	6958	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella → Él
76	7317	de	YES	clause	de drops "before she found this pink tube"	change de: add ", bevor sie diese rosa Tube fand"
77	7352	es	YES	number_person_gender	es él (he) vs en she	change es: él → ella
78	7545	es	YES	number_person_gender	es Él (he) vs en She	change es: Él → Ella
79	7545	hu	NO	-	-	-
80	7607	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella → Él
81	7664	de	YES	gap	de "gerade machen" reads as straighten, not make/prepare; gap is not the verb meaning making	change de: noch eine Regenbogenschüssel zubereiten, gap → werden ... zubereiten
82	7686	ua	YES	number_person_gender	ua ми (we) vs en they	change ua: Ніколи ми не бачили → Ніколи вони не бачили
83	7907	es	YES	number_person_gender	es Ojalá yo (I) vs en He wishes	change es: Él desearía haber puesto un clip en su propio montón hace diez minutos
84	8025	es	YES	number_person_gender	es él (he) vs en she	change es: Si él → Si ella
85	8037	es	YES	number_person_gender	es él (he) vs en she	change es: él habrá marcado → ella habrá marcado
86	8174	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella hizo → Él hizo
87	8349	es	YES	number_person_gender	es Ojalá yo (I) vs en He wishes	change es: Él desearía saber algo de tuberías
88	8435	tr	NO	-	-	-
89	8518	es	YES	number_person_gender	es ella (she) vs en he	change es: ella → él
90	8613	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella entró → Él entró
91	8725	ua	YES	gap	ua gap організували (organised) vs en gap is said; ua equivalent is Кажуть	change ua gap: організували → Кажуть
92	8725	hu	YES	gap	hu gap szervezték meg (organised) vs en gap is said; hu equivalent is állítólag	change hu gap: szervezték meg → állítólag
93	8770	es	YES	number_person_gender	es él (he) vs en She	change es: él mandó → ella mandó
94	8838	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella siguió → Él siguió
95	8934	ua	YES	gap	ua gap є (is) vs en gap is said; ua equivalent is Кажуть	change ua gap: є → Кажуть
96	9086	es	YES	number_person_gender	es Él (he) vs en She	change es: Él dijo → Ella dijo
97	9325	ua	YES	noun_verb_place	ua цілий день (all day) vs en all afternoon	change ua: цілий день → усе пообіддя
98	9413	ua	YES	noun_verb_place	ua возить (transports) vs en smuggles	change ua: возить → провозить контрабандою
99	9586	de	YES	clause	de drops "and her legs feel it"	change de: add ", und ihre Beine spüren es"
100	9656	es	YES	noun_verb_place	es broken infinitive "haber tocar" and object "the bell" missing	change es: podría haber tocar → podría haber tocado la campana
101	9705	es	YES	gap	es broken infinitive "haber firmar", perfect lost	change es: haber firmar → haber firmado
102	9705	hu	YES	noun_verb_place	hu írni (write) vs en signed	change hu: írni → aláírni
103	10182	es	YES	number_person_gender	es Ella (she) + había visto vs en I have seen	change es: Nunca he visto una sed golpear a alguien tan fuerte
104	10358	fr	YES	clause	fr adds du micro-ondes, drops too hot to hold (brûlant)	change fr: Le bol qu'il a sorti était bien trop chaud pour le tenir.
105	10671	sk	YES	noun_verb_place	sk obehne (runs around) vs en checked	change sk: obehne → skontroluje
106	10671	cz	YES	noun_verb_place	cz oběhne (runs around) vs en checked	change cz: oběhne → zkontroluje
107	10861	es	YES	number_person_gender	es Él (he) vs en She said	change es: Él dijo → Ella dijo
108	10965	es	YES	number_person_gender	es Ojalá yo (I) vs en She wishes	change es: Ella desearía haber comprado papel más grueso antes de empezar
109	10965	de	YES	clause	de drops "the sheets keep tearing"	change de: add " — die Blätter reißen ständig"
110	10965	fr	YES	clause	fr drops "the sheets keep tearing"	change fr: add " — les feuilles n'arrêtent pas de se déchirer"
111	10965	tr	YES	clause	tr drops "the sheets keep tearing"	change tr: add " — kâğıtlar sürekli yırtılıyor"
112	11305	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella llegó → Él llegó
113	11313	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella le enseña → Él le enseña
114	11322	ua	YES	noun_verb_place	ua крейдою (chalk) vs en crayons	change ua: крейдою → восковими олівцями
115	11401	de	YES	number_person_gender	de es (it) vs en he	change de: den es mag → den er mag
116	11535	es	YES	number_person_gender	es él (he) vs en she	change es: él puede → ella puede
117	11681	es	YES	number_person_gender	es Él (he) vs en She	change es: Él pone → Ella pone
118	11810	es	YES	number_person_gender	es él (he) vs en She	change es: él gira → ella gira
119	11853	es	YES	noun_verb_place	es jardín (garden) vs en beer garden	change es: el jardín → la terraza de la cervecería
120	11853	fr	YES	noun_verb_place	fr jardin (garden) vs en beer garden	change fr: le jardin → le biergarten
121	12051	tr	YES	gap	tr Kimse with positive bekleyebilir breaks the negation (anyone can wait)	change tr: bekleyebilir → bekleyemez
