item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
143	13609	hu	NO	-	-	-
144	13707	es	YES	number_person_gender	es subject ella (she) vs en He	change es: Hoy ella se peina → Hoy él se peina
145	13807	hu	NO	-	-	-
146	13881	ua	NO	-	-	-
147	13881	tr	NO	-	-	-
148	13881	hu	NO	-	-	-
149	13881	sk	NO	-	-	-
150	13881	cz	NO	-	-	-
151	14003	hu	YES	clause	hu says the cream is in the bowl, en says thick and white	change hu: A tejszín a tálban van → A tejszín sűrű és fehér (gap: fehér)
152	14073	de	NO	-	-	-
153	14073	tr	NO	-	-	-
154	14073	sk	NO	-	-	-
155	14073	cz	NO	-	-	-
156	14158	de	NO	-	-	-
157	14158	tr	NO	-	-	-
158	14158	sk	NO	-	-	-
159	14158	cz	NO	-	-	-
160	14217	es	YES	number_person_gender	es subject Él (he) vs en She	change es: Él no gasta → Ella no gasta
161	14217	fr	YES	noun_verb_place	fr n'a pas beaucoup de monnaie = does not have much change; en does not spend much money	change fr: Elle n'a pas beaucoup de monnaie → Elle ne dépense pas beaucoup d'argent (gap: argent)
162	14315	tr	YES	clause	tr adds çok sessizdir (is very quiet); en only says the deer is in a misty forest	change tr: Geyik sisli ormanda çok sessizdir → Geyik sisli bir ormandadır (gap: ormandadır)
163	14375	es	YES	number_person_gender	es subject Él vs en She	change es: Él pone → Ella pone
164	14396	es	YES	number_person_gender	es él (he) vs en she	change es: así que él por fin → así que ella por fin
165	14424	hu	YES	number_person_gender	hu ő lassan eszik = he/she eats (singular) vs en they eat it	change hu: ezért ő lassan eszik → ezért ők lassan megeszik
166	14514	hu	YES	clause	hu says the boy is on the stairs; en says his drawing is almost finished	change hu: A fiú a lépcsőn van → A rajza majdnem kész (gap: kész)
167	14574	es	YES	number_person_gender	es subject Él vs en She	change es: Él se pone → Ella se pone
168	14624	hu	YES	clause	hu says the bottle is on the railing; en says the water in the bottle is very cold	change hu: A palack a korláton van → A palackban lévő víz nagyon hideg (gap: hideg)
169	14624	tr	NO	-	-	-
170	14690	ua	YES	noun_verb_place	ua кинув = threw vs en dropped	change ua: кинув → впустив (gap: впустив)
171	14916	hu	NO	-	-	-
172	15212	ua	YES	number_person_gender	ua Ці вправи = these exercises (plural) vs en this exercise	change ua: Ці вправи ти можеш робити → Цю вправу ти можеш робити
173	15333	es	YES	number_person_gender	es subject Él vs en She	change es: Él se pone su mano → Ella se pone la mano
174	15390	es	YES	number_person_gender	es él (he) vs en She	change es: él tiene → ella tiene
175	15390	ua	NO	-	-	-
176	15390	sk	NO	-	-	-
177	15390	cz	NO	-	-	-
178	15420	ua	NO	-	-	-
179	15420	sk	NO	-	-	-
180	15420	cz	NO	-	-	-
181	15616	es	YES	number_person_gender	es subject Ella vs en He	change es: Ella hace → Él hace
182	15616	ua	NO	-	-	-
183	15616	sk	NO	-	-	-
184	15616	cz	NO	-	-	-
185	15626	es	YES	number_person_gender	es Ella añade (she adds) vs en imperative Add	change es: Ella añade agua → Añade agua
186	15668	tr	NO	-	-	-
187	15668	hu	NO	-	-	-
188	15835	es	YES	number_person_gender	es subject Él vs en She	change es: Él coge → Ella coge
189	15844	fr	YES	clause	fr drops onto the fork	change fr: d'enrouler les pâtes → d'enrouler les pâtes sur la fourchette
190	15885	tr	NO	-	-	-
191	15885	hu	NO	-	-	-
192	15941	tr	NO	-	-	-
193	15941	hu	NO	-	-	-
194	15997	fr	YES	gap	fr gap est (is) vs en sits; sitting is lost	change fr: La grenouille est sur → La grenouille est assise sur (gap: est assise)
195	16085	ua	YES	noun_verb_place	ua says this evening gaming is the best; en says gaming at night is an amazing feeling (feeling missing)	change ua: Цей вечірній геймінг — найкращий → Геймінг уночі — це неймовірне відчуття
196	16085	sk	YES	noun_verb_place	sk says this evening gaming is the best; en says gaming at night is an amazing feeling (feeling missing)	change sk: Tento večerný gaming je najlepší → Hranie v noci je úžasný pocit
197	16085	cz	YES	noun_verb_place	cz says this evening gaming is the best; en says gaming at night is an amazing feeling (feeling missing)	change cz: Tenhle večerní gaming je nejlepší → Hraní v noci je úžasný pocit
198	16085	tr	NO	-	-	-
199	16245	tr	NO	-	-	-
200	16245	hu	NO	-	-	-
201	16276	tr	NO	-	-	-
202	16276	hu	NO	-	-	-
203	16363	es	YES	number_person_gender	es subject Él vs en She	change es: Él dice → Ella dice
204	16407	ua	NO	-	-	-
205	16407	tr	NO	-	-	-
206	16407	hu	NO	-	-	-
207	16407	sk	NO	-	-	-
208	16407	cz	NO	-	-	-
209	16446	fr	YES	number_person_gender	fr cinq autres chèvres = five other goats (six in total) vs en five goats	change fr: cinq autres chèvres → cinq chèvres
210	16501	es	YES	number_person_gender	es subject Él vs en She	change es: Él se pone → Ella se pone
211	16515	es	YES	number_person_gender	es subject Él vs en She	change es: Él no tiene → Ella no tiene
212	16515	ua	NO	-	-	-
213	16515	tr	NO	-	-	-
