item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
285	19464	es	YES	number_person_gender	es Él (he) vs en She	change es: Él → Ella
286	19621	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella → Él
287	19793	es	YES	number_person_gender	es Él (he) vs en She	change es: Él → Ella
288	19793	ua	NO	-	-	-
289	19793	sk	NO	-	-	-
290	19793	cz	NO	-	-	-
291	20055	es	YES	number_person_gender	es él (he) vs en She	change es: Normalmente él pela → Normalmente ella pela
292	20155	ua	NO	-	-	-
293	20155	hu	NO	-	-	-
294	20155	sk	NO	-	-	-
295	20155	cz	NO	-	-	-
296	20293	hu	YES	noun_verb_place	hu says the little pill is there on the table; en says it is white and very small	change hu: A kis tabletta fehér és nagyon kicsi.
297	20388	es	YES	number_person_gender	es Él (he) vs en She	change es: Él → Ella
298	20388	hu	NO	-	-	-
299	20582	hu	NO	-	-	-
300	20837	es	YES	number_person_gender	es él (he) vs en she	change es: él construye → ella construye
301	20884	es	YES	number_person_gender	es Él (he) vs en She	change es: Él toca → Ella toca
302	20891	es	YES	number_person_gender	es Él (he) vs en She	change es: Él salta → Ella salta
303	21004	hu	NO	-	-	-
304	21105	es	YES	number_person_gender	es Él (he) vs en She	change es: Él golpea → Ella golpea
305	21210	es	YES	number_person_gender	es él (he) vs en She	change es: Normalmente él duerme → Normalmente ella duerme
306	21258	es	YES	number_person_gender	es Él (he) vs en She	change es: Él bate → Ella bate
307	21258	hu	NO	-	-	-
308	21286	hu	NO	-	-	-
309	21509	es	YES	number_person_gender	es él (he) vs en she	change es: ¿Dónde patina él? → ¿Dónde patina ella?
310	21557	hu	YES	noun_verb_place	hu says a big pink rose is in her hand; en says the rose is soft and fresh	change hu: A nagy rózsaszín rózsa puha és friss.
311	21569	es	YES	number_person_gender	es Él (he) vs en She	change es: Él viene → Ella viene
312	21711	es	YES	number_person_gender	es él (he) vs en she	change es: corre él → corre ella
313	21743	es	YES	number_person_gender	es Él (he) vs en She	change es: Él se bebe → Ella se bebe
314	21793	ua	YES	clause	ua drops "and safe" (only to warm up)	change ua: щоб зігрітися → щоб відчувати тепло й безпеку
315	21793	fr	YES	clause	fr drops "and safe" (only to feel warm)	change fr: pour se sentir bien au chaud → pour se sentir au chaud et en sécurité
316	21841	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella prepara → Él prepara
317	21843	es	YES	number_person_gender	es Ella (she) vs en He	change es: Ella hace → Él hace
318	22002	fr	YES	clause	fr drops "by the fjord"	change fr: Des saucisses. → Des saucisses au bord du fjord.
319	22111	en	YES	clause	en adds "with a marker"; no native row has it	change en: drop "with a marker" (He circles one date in his schedule.)
320	22131	hu	YES	noun_verb_place	hu says the big old school is there behind the trees; en says my school is big, old and full of students	change hu: Az iskolám nagy, régi és tele van diákokkal.
321	22210	de	YES	noun_verb_place	de says stopped everywhere; en says stopped at every chart	change de: blieb überall stehen → blieb an jedem Diagramm stehen
322	22210	fr	YES	noun_verb_place	fr says stopped everywhere and "est parti" (left); en says stopped at every chart	change fr: s'est arrêté partout → s'est arrêté à chaque graphique
323	22300	es	YES	number_person_gender	es Él (he) vs en She	change es: Él registró → Ella registró
324	22420	es	YES	number_person_gender	es Él (he) vs en She	change es: Él usa → Ella usa
325	22671	es	YES	number_person_gender	es Él (he) vs en She	change es: Él compra → Ella compra
326	22686	es	YES	number_person_gender	es Él (he) vs en She	change es: Él paga → Ella paga
327	22835	es	YES	number_person_gender	es Él (he) vs en She	change es: Él canta → Ella canta
328	22846	es	YES	number_person_gender	es Él (he) vs en She	change es: Él se quita → Ella se quita
329	23033	es	YES	number_person_gender	es Él (he) vs en She	change es: Él baja → Ella baja
