item_no	exercise_id	lang	verdict	category	what_differs	proposed_fix
214	16515	hu	NO	-	-	-
215	16515	sk	NO	-	-	-
216	16515	cz	NO	-	-	-
217	16552	hu	YES	noun_verb_place	hu says the grandfather is on the pier; old, white beard and cap missing	change hu: A nagypapa a stégen van → A nagypapa öreg, fehér szakállú és sapkás.
218	16552	de	YES	clause	de drops "and a cap"	change de: add "und eine Mütze" (… hat einen weißen Bart und eine Mütze.)
219	16552	fr	YES	clause	fr drops "and a cap"	change fr: avec une barbe blanche → avec une barbe blanche et une casquette
220	16862	es	YES	number_person_gender	es él (he) vs en she	change es: él se cruza → ella se cruza
221	17049	es	YES	number_person_gender	es él (he) vs en she	change es: él golpea → ella golpea
222	17102	hu	YES	time_frame	hu adds tegnap and past volt (yesterday was) vs present is	change hu: A házi feladata tegnap egy nagy kupacban volt az asztalon → A házi feladata egy nagy kupacban van az asztalon (gap van)
223	17121	ua	YES	clause	ua adds answer clause Дуже багато (Very much); gap багато is in the added clause	change ua: remove Дуже багато.; gap → Скільки
224	17121	fr	YES	clause	fr asks "you have a lot of homework?" (yes/no) instead of how much	change fr: Tu as beaucoup de devoirs ce soir ? → Combien de devoirs as-tu ce soir ? (gap Combien de)
225	17121	sk	YES	clause	sk is a statement "I have a lot of homework tonight" (person I, no question)	change sk: → Koľko domácej úlohy máš dnes večer? (gap Koľko)
226	17121	cz	YES	clause	cz is a statement "I have a lot of homework tonight" (person I, no question)	change cz: → Kolik domácího úkolu máš dnes večer? (gap Kolik)
227	17181	es	YES	number_person_gender	es Ella (she) vs en he	change es: Ella cerró → Él cerró
228	17209	es	YES	number_person_gender	es Él (he) vs en she	change es: Él tenía miedo → Ella tenía miedo
229	17212	hu	YES	time_frame	hu adds tegnap and past volt (yesterday was) vs present is	change hu: A barna ló tegnap nyugodt volt → A barna ló nyugodt (gap van not possible; use A barna ló nyugodt a széles zöld sztyeppén)
230	17366	es	YES	number_person_gender	es ella (she) vs en he	change es: Hoy ella come → Hoy él come
231	17381	hu	YES	noun_verb_place	hu says "the fast game is there on the cold ice"; ice hockey missing	change hu: → A jégkorong gyors játék a hideg jégen.
232	17443	ua	NO	-	-	-
233	17443	sk	NO	-	-	-
234	17443	cz	NO	-	-	-
235	17472	ua	NO	-	-	-
236	17472	sk	NO	-	-	-
237	17472	cz	NO	-	-	-
238	17605	es	YES	number_person_gender	es Ella (she) vs en he	change es: Ella exprimió → Él exprimió
239	17724	es	YES	number_person_gender	es Él (he) vs en she	change es: Él entrena → Ella entrena
240	17724	ua	NO	-	-	-
241	17724	sk	NO	-	-	-
242	17724	cz	NO	-	-	-
243	17780	ua	NO	-	-	-
244	17780	sk	NO	-	-	-
245	17780	cz	NO	-	-	-
246	17794	ua	NO	-	-	-
247	17794	sk	NO	-	-	-
248	17794	cz	NO	-	-	-
249	17817	es	YES	number_person_gender	es Ella (she) vs en he	change es: Ella normalmente compra → Él normalmente compra
250	17977	ua	NO	-	-	-
251	17977	sk	NO	-	-	-
252	17977	cz	NO	-	-	-
253	17991	en	YES	noun_verb_place	en snacks vs natives packets/bags (ua es fr tr hu sk cz)	change en: How many snacks → How many bags of snacks (or natives → snacks)
254	17991	ua	YES	noun_verb_place	ua пакетів (packets) vs en snacks	change en: snacks → bags of snacks (or ua: пакетів → снеків)
255	17991	sk	YES	noun_verb_place	sk vreciek (bags) vs en snacks	change en: snacks → bags of snacks (or sk: vreciek → snackov)
256	17991	cz	YES	noun_verb_place	cz sáčků (bags) vs en snacks	change en: snacks → bags of snacks (or cz: sáčků → snacků)
257	18001	sk	YES	gap	sk sleduje = traces/follows vs touches	change sk: Žilky listu sleduje → Žiliek listu sa dotýka (gap dotýka)
258	18001	cz	YES	gap	cz sleduje = traces/follows vs touches	change cz: Žilky listu sleduje → Žilek listu se dotýká (gap dotýká)
259	18027	hu	YES	noun_verb_place	hu says the leather is on the workshop table; strong and soft missing	change hu: → A barna bőr erős és puha.
260	18041	es	YES	number_person_gender	es Él (he) vs en she	change es: Él normalmente vende → Ella normalmente vende
261	18163	hu	YES	noun_verb_place	hu says "the woman is in the big old library"; very big and quiet missing	change hu: → A régi könyvtár nagyon nagy és csendes.
262	18225	es	YES	number_person_gender	es Él (he) vs en she	change es: Él apunta → Ella apunta
263	18273	hu	YES	noun_verb_place	hu says the white line is on the grass pitch; long and very straight missing	change hu: → A fehér vonal hosszú és nagyon egyenes.
264	18319	ua	NO	-	-	-
265	18319	sk	NO	-	-	-
266	18319	cz	NO	-	-	-
267	18387	en	YES	gap	en sits vs natives bask/warm themselves (ua es fr tr hu sk cz)	change en: It sits → It basks (and de: sitzt → sonnt sich)
268	18516	es	YES	number_person_gender	es él (he) vs en she	change es: y él dirá → y ella dirá
269	18539	es	YES	number_person_gender	es Ella (she) vs en he	change es: Ella usa → Él usa
270	18568	hu	YES	gap	hu megfogta = took/grabbed his hand vs shook	change hu: megfogta a kezét → kezet fogott vele (gap fogott)
271	18673	ua	NO	-	-	-
272	18673	sk	NO	-	-	-
273	18673	cz	NO	-	-	-
274	18973	hu	YES	noun_verb_place	hu says the paste is in the blue bucket; thick and pale missing	change hu: → A vödörben lévő paszta sűrű és sápadt.
275	19038	es	YES	number_person_gender	es Él (he) vs en she	change es: Él seca → Ella seca
276	19105	es	YES	number_person_gender	es Él (he) vs en she	change es: Él dice → Ella dice
277	19151	ua	NO	-	-	-
278	19151	sk	NO	-	-	-
279	19151	cz	NO	-	-	-
280	19229	tr	YES	clause	tr drops "and no free hands"	change tr: add ve hiç boş eli yok (On tane ıslak tırnağı var ve hiç boş eli yok)
281	19229	hu	YES	clause	hu drops "and no free hands"	change hu: add és nincs szabad keze (Tíz nedves körme van, és nincs szabad keze)
282	19374	ua	NO	-	-	-
283	19374	sk	NO	-	-	-
284	19374	cz	NO	-	-	-
